Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule
nan,0.552570,0.659767,0.069681,0.658647,0.000000,0.000000
nan,0.106682,0.120711,-0.664282,-0.167519,0.000000,0.000000
nan,-0.152942,-0.119392,-0.920605,-0.736950,0.000000,0.000000
nan,-0.164718,-0.016009,-0.959130,-0.609597,0.000000,0.000000
nan,0.365792,0.437619,-0.685913,-0.172633,0.000000,0.000000
nan,-0.075309,0.318190,-0.593960,-0.446468,0.000000,0.000000
nan,0.180668,0.212337,-1.441758,-1.270445,0.000000,0.000000
nan,0.005581,0.258622,-0.853859,-0.413365,5.000000,0.000000
nan,0.242134,1.029788,-0.016328,0.569950,0.000000,0.000000
nan,-0.533184,-0.485055,-1.310294,-1.089522,5.000000,0.000000
nan,0.418832,0.885430,0.259472,0.885430,5.000000,0.000000
nan,0.807346,1.161204,0.688815,0.985675,4.000000,0.000000
nan,0.148218,0.256810,-0.526869,-0.296062,4.000000,0.000000
nan,0.161558,1.070358,0.086736,0.998549,3.000000,0.000000
nan,0.209877,0.721599,-0.112622,0.357080,0.000000,0.000000
nan,-0.178833,0.043039,-0.599317,-0.313424,3.000000,0.000000
nan,0.387709,0.803501,0.372421,0.770845,0.000000,0.000000
nan,-0.293656,-0.160308,-0.701619,-0.653490,0.000000,0.000000
nan,-0.084366,-0.005986,-1.212439,-1.035261,5.000000,0.000000
nan,0.454476,0.930051,0.130202,0.681095,4.000000,0.000000
nan,0.511872,1.020920,0.436199,0.756412,3.000000,0.000000
nan,-0.368553,-0.061430,-0.754371,-0.074651,3.000000,0.000000
nan,-0.053116,0.932300,-0.101354,0.924548,2.000000,0.000000
nan,0.266587,0.502157,-0.088666,0.248922,2.000000,0.000000
nan,0.128182,0.134330,-0.281890,-0.104014,2.000000,0.000000
nan,0.206798,0.621953,-0.038706,0.305292,0.000000,0.000000
nan,-0.255014,-0.086742,-0.569400,-0.191994,2.000000,0.000000
nan,-0.385016,0.026048,-0.686268,-0.366499,2.000000,0.000000
nan,0.031340,0.623956,-0.058198,0.129247,2.000000,0.000000
nan,-0.107460,1.151651,-0.949777,-0.949777,3.000000,0.000000
nan,0.731213,1.411763,0.608182,1.400114,0.000000,0.000000
nan,0.492907,0.877703,0.441754,0.669937,0.000000,0.000000
nan,-0.206642,-0.070630,-0.424041,-0.238868,0.000000,0.000000
nan,0.158370,0.374100,-0.067834,0.211047,0.000000,0.000000
nan,0.289930,0.305214,-0.978191,-0.387293,0.000000,0.000000
nan,0.057430,0.295387,-0.297094,0.249848,0.000000,0.000000
nan,-0.245361,0.616857,-0.370855,-0.009211,0.000000,0.000000
nan,-0.479265,0.176421,-0.793673,0.176421,0.000000,0.000000
nan,0.243781,0.523051,-0.108618,0.140983,0.000000,0.000000
nan,-0.207415,-0.192863,-0.762020,-0.736358,0.000000,0.000000
nan,0.213431,0.412297,-0.184727,0.157673,0.000000,0.000000
nan,0.274923,0.904745,0.255859,0.684382,0.000000,0.000000
nan,-0.213299,-0.109623,-0.432024,-0.351814,0.000000,0.000000
nan,-0.572222,-0.494124,-1.254821,-0.739325,0.000000,0.000000
nan,-0.021124,0.487579,-0.268141,0.119023,0.000000,0.000000
nan,-0.754643,-0.696226,-1.164460,-1.120333,4.000000,0.000000
nan,0.083070,0.315541,-0.249911,0.265957,4.000000,0.000000
nan,0.104614,0.337994,-0.608188,-0.408576,4.000000,0.000000
nan,0.199964,0.630769,0.183234,0.400273,4.000000,0.000000
nan,-0.116632,0.566426,-0.426336,0.265284,4.000000,0.000000
nan,0.147963,0.383407,-0.285585,0.343962,3.000000,0.000000
nan,0.611129,1.157975,0.577391,1.157975,2.000000,0.000000
nan,0.071260,0.318590,-0.043730,0.297495,0.000000,0.000000
nan,-0.131960,-0.104689,-0.325062,-0.186585,0.000000,0.000000
nan,-0.522608,0.426879,-0.579359,0.304773,0.000000,0.000000
nan,0.220868,1.109386,0.134462,1.015450,0.000000,0.000000
nan,-0.164301,0.402590,-0.202096,0.318818,0.000000,0.000000
nan,0.159398,0.237041,-0.354158,0.064475,0.000000,0.000000
nan,-0.262570,-0.057755,-0.497672,-0.279307,0.000000,0.000000
nan,0.025509,0.116119,-0.630185,-0.356058,0.000000,0.000000
nan,0.295000,0.409811,-0.364352,-0.156743,0.000000,0.000000
nan,0.106585,0.288614,-0.176902,0.182436,0.000000,0.000000
nan,-0.352582,0.145622,-0.790774,0.096721,0.000000,0.000000
nan,-0.387611,-0.312468,-1.276559,-1.276559,0.000000,0.000000
nan,0.237288,0.522444,0.124417,0.383204,0.000000,0.000000
nan,-0.321694,-0.278933,-0.931788,-0.893851,2.000000,0.000000
nan,-0.006935,0.149018,-0.520480,-0.449648,3.000000,0.000000
nan,0.098363,0.427018,-0.104095,0.108269,3.000000,0.000000
nan,-0.213466,0.302116,-0.527617,0.083097,3.000000,0.000000
nan,0.272362,0.912990,0.040274,0.508218,2.000000,0.000000
nan,0.355688,0.583761,0.065052,0.299870,2.000000,0.000000
nan,0.046221,0.047613,-0.442399,-0.325407,2.000000,0.000000
nan,-0.349603,0.476846,-0.635980,-0.524730,3.000000,0.000000
nan,-0.311971,0.546191,-0.436638,0.420877,2.000000,0.000000
nan,0.295963,0.590212,-0.490991,-0.290499,0.000000,0.000000
nan,-0.288952,0.260766,-0.364232,0.246634,0.000000,0.000000
nan,-0.445437,-0.202097,-0.789891,-0.686583,0.000000,0.000000
nan,0.386506,0.588178,0.265874,0.562114,0.000000,0.000000
nan,-0.115585,0.261386,-0.489175,-0.345865,0.000000,0.000000
nan,-0.202492,1.099400,-0.319927,1.004385,0.000000,0.000000
nan,0.402722,0.822425,0.343336,0.692102,0.000000,0.000000
nan,0.040778,0.381505,0.008852,0.317841,0.000000,0.000000
nan,-0.070203,0.123567,-0.145765,0.064510,0.000000,0.000000
nan,0.034030,0.249014,0.000098,0.224258,0.000000,0.000000
nan,0.109952,0.153631,-0.432006,-0.338317,0.000000,0.000000
nan,-0.096189,0.101587,-0.493957,-0.280952,0.000000,0.000000
nan,-0.025403,0.180867,-0.230656,0.017256,0.000000,0.000000
nan,0.143150,0.361599,-0.808808,-0.506880,0.000000,0.000000
nan,0.008921,0.222784,-0.050696,0.086872,0.000000,0.000000
nan,0.366301,0.933926,0.302985,0.812701,0.000000,0.000000
nan,-0.201862,-0.104434,-0.540263,-0.346240,0.000000,0.000000
nan,-0.159811,-0.147095,-0.819926,-0.629232,0.000000,0.000000
nan,-0.314086,-0.305278,-1.320118,-1.244263,0.000000,0.000000
nan,-0.582359,-0.389039,-0.868246,-0.868246,0.000000,0.000000
nan,-0.305960,-0.179834,-0.736670,-0.679230,0.000000,0.000000
nan,0.346241,0.719438,0.236266,0.431189,0.000000,0.000000
nan,-0.623118,-0.120055,-0.857797,-0.277512,0.000000,0.000000
nan,0.348452,0.765754,0.136911,0.400092,0.000000,0.000000
nan,1.075654,1.791858,1.075654,1.622386,0.000000,0.000000
nan,-0.089563,0.438713,-0.157255,0.263671,0.000000,0.000000
nan,0.342076,0.663732,0.139102,0.274449,0.000000,0.000000
nan,0.253290,1.329165,0.166825,0.916249,0.000000,0.000000
nan,-4.825637,-2.541601,-4.879932,-3.313013,0.000000,0.000000
nan,-0.189021,0.150878,-1.611459,-1.355172,5.000000,0.000000
nan,0.888131,1.337676,0.705561,0.836171,4.000000,0.000000
nan,0.517358,0.904868,0.276507,0.773103,0.000000,0.000000
nan,-0.216798,0.390995,-0.463401,0.318258,0.000000,0.000000
nan,0.295356,0.594853,-0.105716,0.452001,0.000000,0.000000
nan,0.101888,0.155481,-0.354618,-0.317064,0.000000,0.000000
nan,-0.250996,-0.235095,-0.957089,-0.835137,4.000000,0.000000
nan,-0.392641,-0.009554,-1.080901,-0.753464,5.000000,0.000000
nan,0.304714,0.638994,0.125429,0.216021,5.000000,0.000000
nan,-0.125803,1.122375,-0.140713,0.998088,4.000000,0.000000
nan,0.544929,1.004294,0.286425,0.964301,3.000000,0.000000
nan,0.080530,0.853537,0.036497,0.619299,3.000000,0.000000
nan,-0.105296,0.180260,-0.212976,-0.159089,4.000000,0.000000
nan,0.610250,0.855582,0.257127,0.657098,3.000000,0.000000
nan,-0.178108,0.146105,-0.389850,-0.006715,3.000000,0.000000
nan,0.058369,0.449438,-0.264951,-0.018144,3.000000,0.000000
nan,-0.116736,-0.059674,-0.673441,-0.395353,4.000000,0.000000
nan,0.354595,0.800477,0.050360,0.777739,3.000000,0.000000
nan,0.259553,0.260768,-0.252256,0.069033,3.000000,0.000000
nan,-0.125535,0.122263,-0.405079,-0.042740,3.000000,0.000000
nan,0.037930,0.571382,-0.108986,0.248843,3.000000,0.000000
nan,0.006985,0.379625,-0.237310,0.243603,3.000000,0.000000
nan,0.329573,0.516879,0.250334,0.354883,2.000000,0.000000
nan,-0.047804,0.309518,-0.273823,-0.221501,3.000000,0.000000
nan,0.229185,0.401430,0.061881,0.312487,2.000000,0.000000
nan,0.444189,0.609044,-0.300573,-0.034893,2.000000,0.000000
nan,-0.008244,0.000600,-1.007358,-0.930586,3.000000,0.000000
nan,0.029091,0.225142,-0.260307,0.129979,3.000000,0.000000
nan,0.337452,0.564992,0.061518,0.290926,3.000000,0.000000
nan,0.075949,0.740654,-0.056740,0.704650,2.000000,0.000000
nan,0.204627,0.566495,0.184158,0.330889,2.000000,0.000000
nan,0.031573,1.361074,0.007235,1.318418,1.000000,0.000000
nan,-0.081478,0.078166,-0.294290,-0.213936,1.000000,0.000000
nan,0.187643,0.470378,-0.079137,0.470378,1.000000,0.000000
nan,-0.126274,-0.039822,-0.295314,-0.151521,1.000000,0.000000
nan,0.029576,0.460428,-0.006733,0.133535,0.000000,0.000000
nan,-0.377209,-0.011134,-0.543931,-0.325534,0.000000,0.000000
nan,0.093197,0.104703,-0.836197,-0.723627,2.000000,0.000000
nan,0.394783,0.458913,0.059156,0.342171,1.000000,0.000000
nan,0.053579,0.079211,-0.588672,-0.308176,2.000000,0.000000
nan,-0.081219,0.587033,-0.529270,-0.262383,2.000000,0.000000
nan,0.255762,0.698077,0.115354,0.518519,0.000000,0.000000
nan,-0.325802,0.318149,-0.410125,0.158783,0.000000,0.000000
nan,-0.245388,-0.245388,-0.804946,-0.493734,2.000000,0.000000
nan,-0.092187,0.442743,-0.241658,0.308598,0.000000,0.000000
nan,-0.445977,-0.112061,-0.775957,-0.230348,2.000000,0.000000
nan,0.235900,0.767549,0.234677,0.603207,0.000000,0.000000
nan,-0.163290,0.049158,-0.354880,-0.348179,0.000000,0.000000
nan,0.158913,0.448383,-0.538298,-0.313010,2.000000,0.000000
nan,0.195210,0.854695,-0.093875,0.802021,0.000000,0.000000
nan,0.153041,0.305381,-0.066240,-0.062624,0.000000,0.000000
nan,0.177323,0.381407,-0.080276,0.080981,0.000000,0.000000
nan,0.107435,0.483712,-0.149320,0.358689,0.000000,0.000000
nan,-0.017191,0.149267,-0.995068,-0.422627,0.000000,0.000000
nan,-0.182605,-0.019798,-0.741648,-0.555496,0.000000,0.000000
nan,-1.047348,-0.768170,-1.487388,-0.768880,2.000000,0.000000
nan,0.279331,0.409846,-0.266368,-0.245949,2.000000,0.000000
nan,0.129775,0.349406,-0.092429,-0.044896,2.000000,0.000000
nan,-0.096544,0.373850,-0.226343,0.290282,2.000000,0.000000
nan,-0.151463,-0.022007,-0.929838,-0.852928,2.000000,0.000000
nan,0.407178,0.584300,0.279444,0.539773,2.000000,0.000000
nan,0.004494,0.511170,-0.012491,0.110973,2.000000,0.000000
nan,0.570627,0.786598,0.185589,0.237164,2.000000,0.000000
nan,0.454163,1.488653,0.450120,1.315819,0.000000,0.000000
nan,-0.065129,0.008026,-0.352292,-0.263037,0.000000,0.000000
nan,-0.398555,-0.367241,-1.340041,-1.295176,2.000000,0.000000
nan,0.320147,0.345006,-0.710431,-0.178854,2.000000,0.000000
nan,0.357895,0.871717,0.309335,0.427076,2.000000,0.000000
nan,0.595167,0.760191,-0.377928,-0.182001,2.000000,0.000000
nan,-0.906619,0.691417,-1.185727,0.580103,2.000000,0.000000
nan,-0.099418,0.747431,-0.103382,0.598114,1.000000,0.000000
nan,-0.463783,0.015627,-0.734301,-0.186805,2.000000,0.000000
nan,0.306950,0.306950,-0.266749,-0.094168,2.000000,0.000000
nan,-0.106367,0.057276,-0.575825,-0.433827,2.000000,0.000000
nan,0.028655,0.826639,-0.199662,0.741331,0.000000,0.000000
nan,-0.129169,0.381150,-0.309029,-0.261914,0.000000,0.000000
nan,-0.024896,0.150482,-0.414668,-0.303263,0.000000,0.000000
nan,-0.545550,-0.517286,-0.975857,-0.611275,2.000000,0.000000
nan,0.201570,1.127052,0.198266,0.931471,0.000000,0.000000
nan,-0.200859,0.018687,-0.501451,-0.432282,0.000000,0.000000
nan,0.318800,0.866578,0.226099,0.721236,0.000000,0.000000
nan,-0.025831,0.230405,-0.248363,0.080049,0.000000,0.000000
nan,0.113838,0.582685,-0.299424,0.315986,0.000000,0.000000
nan,0.052058,0.204748,-0.165762,0.053318,0.000000,0.000000
nan,0.189876,0.626527,0.189876,0.288997,0.000000,0.000000
nan,0.144403,0.383172,-0.131330,-0.022227,0.000000,0.000000
nan,-0.179508,-0.112703,-0.721844,-0.275008,0.000000,0.000000
nan,-0.103224,0.364891,-0.309916,0.042869,0.000000,0.000000
nan,-0.476612,-0.005341,-0.775154,-0.121285,0.000000,0.000000
nan,-0.219248,-0.049378,-0.361419,-0.182202,0.000000,0.000000
nan,0.344455,0.381393,-0.924025,-0.808854,0.000000,0.000000
nan,-0.481799,-0.380297,-0.920915,-0.905002,2.000000,0.000000
nan,-0.170377,0.209767,-0.264039,-0.264039,2.000000,0.000000
nan,-0.258812,-0.232233,-0.666584,-0.392542,3.000000,0.000000
nan,0.889072,1.161440,0.716342,1.161440,2.000000,0.000000
nan,-0.043882,0.171792,-0.248743,0.149825,2.000000,0.000000
nan,-1.743091,0.952855,-1.783529,0.949722,2.000000,0.000000
nan,0.370521,0.856192,-0.405353,-0.091948,3.000000,0.000000
nan,0.422077,0.489309,-0.265745,0.219451,3.000000,0.000000
nan,0.480623,0.781599,0.053136,0.149648,3.000000,0.000000
nan,0.159194,0.319210,-0.160838,0.242241,0.000000,0.000000
nan,-0.051567,0.001934,-0.731741,-0.417641,3.000000,0.000000
nan,-0.138482,0.135537,-0.350774,0.127645,3.000000,0.000000
nan,0.293030,0.310376,-0.215556,-0.124176,3.000000,0.000000
nan,0.198061,0.370906,-0.411773,0.122015,3.000000,0.000000
nan,0.360942,0.492467,0.135578,0.171228,3.000000,0.000000
nan,0.030098,0.172049,-0.666683,-0.307002,4.000000,0.000000
nan,0.160574,0.319769,-0.053006,0.161173,3.000000,0.000000
nan,0.065984,0.126405,-0.241251,0.060539,3.000000,0.000000
nan,-0.262510,-0.247732,-0.874008,-0.706088,4.000000,0.000000
nan,-0.124861,0.256116,-0.264329,0.230136,4.000000,0.000000
nan,-0.028738,0.435212,-0.088353,0.121121,4.000000,0.000000
nan,-0.289296,-0.080837,-0.843632,-0.650668,4.000000,0.000000
nan,-0.598260,0.069412,-0.806065,-0.126926,5.000000,0.000000
nan,-0.114204,1.326937,-0.120427,1.046705,4.000000,0.000000
nan,0.001040,0.620872,-0.098920,0.553909,4.000000,0.000000
nan,0.669623,1.302697,0.601030,1.289884,3.000000,0.000000
nan,0.298670,1.256348,0.023794,1.173084,2.000000,0.000000
nan,-0.056513,0.319683,-0.204514,0.148067,2.000000,0.000000
nan,-0.032045,0.057879,-0.379924,-0.082542,2.000000,0.000000
nan,0.027520,0.680182,0.008822,0.582749,2.000000,0.000000
nan,-0.187535,-0.020013,-0.307022,-0.247372,2.000000,0.000000
nan,0.138046,0.885058,0.138046,0.756222,2.000000,0.000000
nan,0.013988,0.532033,-0.057782,0.234935,2.000000,0.000000
nan,-0.125698,0.142753,-0.150298,0.142753,2.000000,0.000000
nan,-0.072149,0.287195,-0.124992,0.240743,1.000000,0.000000
nan,-0.124404,0.096538,-0.155906,0.024865,1.000000,0.000000
nan,-0.155588,0.045721,-0.256024,-0.080525,2.000000,0.000000
nan,0.136435,0.155477,-0.301333,-0.039837,2.000000,0.000000
nan,0.051941,0.205215,0.010545,0.145209,1.000000,0.000000
nan,-0.018323,0.023966,-0.084321,0.018060,2.000000,0.000000
nan,-0.420132,-0.104322,-0.463314,-0.158072,2.000000,0.000000
nan,-0.051363,0.203126,-0.300473,0.199140,2.000000,0.000000
nan,-0.361604,0.900846,-0.438049,0.775525,2.000000,0.000000
nan,0.221782,0.259465,-0.246569,-0.093643,2.000000,0.000000
nan,0.168819,0.212606,-0.352527,0.000463,2.000000,0.000000
nan,-0.312698,0.122386,-0.314914,0.004235,2.000000,0.000000
nan,-0.164944,0.140486,-0.255921,0.095027,2.000000,0.000000
nan,0.053452,0.053452,-0.520008,-0.237548,2.000000,0.000000
nan,0.131340,0.293109,-0.129634,0.131746,2.000000,0.000000
nan,0.028823,0.742435,-0.397276,0.428348,2.000000,0.000000
nan,-0.319578,-0.270620,-1.050740,-0.852100,2.000000,0.000000
nan,0.380414,0.781501,0.228016,0.738027,2.000000,0.000000
nan,-0.628317,-0.343373,-0.638525,-0.510093,2.000000,0.000000
nan,-0.227286,0.196555,-0.886768,-0.100674,2.000000,0.000000
nan,0.358582,0.408596,-0.070452,0.408596,2.000000,0.000000
nan,0.171011,0.314688,-0.141671,-0.017294,2.000000,0.000000
nan,-0.194358,0.277070,-0.346157,0.230821,2.000000,0.000000
nan,-0.585334,-0.172761,-0.843640,-0.586862,2.000000,0.000000
nan,0.063319,0.352840,-0.053876,0.344170,2.000000,0.000000
nan,0.574937,1.618580,0.517018,1.467835,1.000000,0.000000
nan,0.431818,0.607517,0.095703,0.297231,0.000000,0.000000
nan,-0.048551,-0.027754,-0.353905,-0.241419,1.000000,0.000000
nan,-0.196275,-0.154012,-1.087518,-0.929290,2.000000,0.000000
nan,0.074406,0.358518,-1.024987,-1.024987,2.000000,0.000000
nan,0.774518,1.311051,0.608473,0.865695,2.000000,0.000000
nan,-0.218708,0.115453,-0.391251,-0.221020,2.000000,0.000000
nan,0.058308,0.485817,0.000213,0.165765,2.000000,0.000000
nan,-0.164872,0.199730,-0.997318,-0.995492,2.000000,0.000000
nan,-0.079874,0.678568,-0.183047,0.278694,2.000000,0.000000
nan,-0.017708,0.294945,-0.491301,-0.042744,2.000000,0.000000
nan,0.289882,0.804622,0.033919,0.703003,2.000000,0.000000
nan,0.396647,0.487922,0.016121,0.171256,2.000000,0.000000
nan,0.220271,1.034735,0.127392,0.763053,2.000000,0.000000
nan,-0.053226,0.095803,-0.155610,-0.018746,2.000000,0.000000
nan,0.448929,0.546059,-0.332588,0.158452,2.000000,0.000000
nan,-0.107425,0.149355,-0.471350,-0.263823,2.000000,0.000000
nan,0.016824,0.131125,-0.458791,-0.001594,2.000000,0.000000
nan,0.541431,0.609206,0.345779,0.511784,2.000000,0.000000
nan,-0.069697,1.155267,-0.210453,1.010173,1.000000,0.000000
nan,0.161331,0.461926,-0.010678,0.225805,1.000000,0.000000
nan,-0.033007,0.126706,-0.529757,-0.369830,1.000000,0.000000
