Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2LRatio,P2LRatioPositive,P2LRatioNegative,P2LRatioNeutral,RangeVariance
2007-06-08,-0.111945,0.403876,-1.169163,-0.114912,4.000000,0.000000,1.465917,1.465917,0.000000,0.000000,5.096501
2007-06-11,0.413061,0.968976,0.413061,0.893313,3.000000,0.000000,1.706838,1.706838,0.000000,0.000000,5.099728
2007-06-12,-0.159116,0.132930,-1.072579,-0.739331,4.000000,0.000000,9.786166,9.786166,0.000000,0.000000,5.078339
2007-06-13,-0.236424,0.685811,-0.751231,0.420966,3.000000,0.000000,1.457632,1.457632,0.000000,0.000000,4.273915
2007-06-14,0.564643,1.848021,0.564643,1.848021,0.000000,0.000000,-0.642272,0.000000,0.642272,1.000000,4.199948
2007-06-15,0.140709,1.556148,0.140709,1.445683,0.000000,1.000000,-3.330936,0.000000,3.330936,0.000000,4.152279
2007-06-18,0.006580,0.191597,-0.742682,-0.456053,0.000000,0.000000,-1.787489,0.000000,1.787489,0.000000,4.157848
2007-06-19,-0.008401,0.392455,-0.298820,-0.066256,0.000000,1.000000,-3.374464,0.000000,3.374464,0.000000,4.184045
2007-06-20,0.268296,1.006936,0.251508,0.406083,0.000000,0.000000,-0.655708,0.000000,0.655708,1.000000,3.989350
2007-06-21,-0.395958,-0.395958,-1.803208,-1.236957,0.000000,0.000000,-0.308530,0.000000,0.308530,1.000000,3.923956
2007-06-22,0.162118,0.447348,-0.394628,-0.202655,0.000000,0.000000,0.970417,0.970417,0.000000,0.000000,3.936611
2007-06-25,-0.489964,-0.025598,-1.205162,-0.178582,1.000000,0.000000,1.113769,1.113769,0.000000,0.000000,3.920129
2007-06-26,-0.415846,-0.231311,-1.090310,-0.824987,2.000000,0.000000,9.565180,9.565180,0.000000,0.000000,3.912904
2007-06-27,-0.306663,-0.306230,-1.074171,-0.452418,3.000000,0.000000,0.504564,0.504564,0.000000,1.000000,4.853781
2007-06-28,0.470888,1.013129,0.470888,0.991730,0.000000,0.000000,-0.453134,0.000000,0.453134,1.000000,6.726319
2007-06-29,0.198268,0.686398,-0.363073,0.686398,0.000000,0.000000,-1.058140,0.000000,1.058140,0.000000,7.686275
2007-07-02,-0.389278,-0.215756,-0.855230,-0.422639,0.000000,0.000000,-1.462744,0.000000,1.462744,0.000000,7.708984
2007-07-03,0.283469,1.128253,0.283469,0.923643,0.000000,1.000000,-2.412672,0.000000,2.412672,0.000000,7.688806
2007-07-04,0.140259,0.376140,0.049018,0.245731,0.000000,0.000000,-2.137445,0.000000,2.137445,0.000000,7.786699
2007-07-05,0.191209,0.298826,-0.818993,-0.706580,0.000000,0.000000,-1.588386,0.000000,1.588386,0.000000,7.767976
2007-07-06,0.004813,0.713612,-0.117623,0.713612,0.000000,1.000000,-2.975900,0.000000,2.975900,0.000000,8.372110
2007-07-09,0.132417,0.591902,-0.036197,0.095110,0.000000,0.000000,-1.811444,0.000000,1.811444,0.000000,8.435652
2007-07-10,-0.042320,0.353151,-1.454923,-1.185341,0.000000,0.000000,-0.690672,0.000000,0.690672,1.000000,8.296538
2007-07-11,-0.544015,-0.392386,-1.516059,-0.571930,0.000000,0.000000,-0.963271,0.000000,0.963271,0.000000,8.209160
2007-07-12,0.225007,1.484102,-0.268778,1.484102,0.000000,1.000000,-3.660559,0.000000,3.660559,0.000000,8.982622
2007-07-13,0.417142,0.910761,0.306125,0.526876,0.000000,10.000000,-10.446679,0.000000,10.446679,0.000000,8.998981
2007-07-16,0.109327,0.459098,-0.060534,0.320898,0.000000,10.000000,-10.424095,0.000000,10.424095,0.000000,8.910708
2007-07-17,-0.038366,-0.038366,-0.908965,-0.412794,0.000000,2.000000,-5.715801,0.000000,5.715801,0.000000,8.504820
2007-07-18,-0.550101,-0.397697,-1.404800,-1.404800,0.000000,10.000000,-10.530228,0.000000,10.530228,0.000000,10.051924
2007-07-19,0.448364,1.291226,0.448364,1.065352,0.000000,10.000000,-10.639169,0.000000,10.639169,0.000000,10.608107
2007-07-20,-0.131897,0.168865,-1.662920,-1.607879,0.000000,1.000000,-4.514379,0.000000,4.514379,0.000000,9.430613
2007-07-23,-0.006211,0.777276,-0.351560,0.777276,0.000000,10.000000,-10.550223,0.000000,10.550223,0.000000,9.378060
2007-07-24,-0.170652,-0.027448,-1.544247,-1.448168,0.000000,10.000000,-10.353205,0.000000,10.353205,0.000000,8.014607
2007-07-25,-0.332703,0.159369,-1.465700,-1.034707,0.000000,10.000000,-10.174928,0.000000,10.174928,0.000000,7.246163
2007-07-26,0.250506,0.510397,-2.111590,-2.111590,0.000000,0.000000,-0.843831,0.000000,0.843831,0.000000,6.765183
2007-07-27,-0.296180,0.660070,-0.865899,-0.161338,0.000000,0.000000,-0.963406,0.000000,0.963406,0.000000,6.692565
2007-07-30,0.044064,0.404153,-0.639949,-0.104370,0.000000,0.000000,-1.723896,0.000000,1.723896,0.000000,6.686541
2007-07-31,0.418633,1.626645,0.418633,1.459874,0.000000,0.000000,-1.750135,0.000000,1.750135,0.000000,6.601029
2007-08-02,-1.010697,-0.166448,-1.037584,-0.515356,0.000000,0.000000,-1.668268,0.000000,1.668268,0.000000,6.595966
2007-08-03,0.134448,0.294538,-1.243424,-1.121425,0.000000,0.000000,-0.312805,0.000000,0.312805,1.000000,6.523550
2007-08-06,-0.520234,-0.137382,-0.895537,-0.499076,0.000000,0.000000,-0.966041,0.000000,0.966041,0.000000,6.537458
2007-08-07,0.497187,1.387698,0.497187,1.387698,0.000000,1.000000,-4.205872,0.000000,4.205872,0.000000,6.485732
2007-08-08,0.356072,1.804698,0.356072,1.612008,0.000000,10.000000,-10.125050,0.000000,10.125050,0.000000,5.996227
2007-08-09,-0.185906,-0.185906,-2.132452,-1.603928,0.000000,0.000000,-0.302680,0.000000,0.302680,1.000000,5.372363
2007-08-10,-0.703240,-0.703240,-2.379481,-1.993809,1.000000,0.000000,-0.333887,0.000000,0.333887,1.000000,5.221117
2007-08-13,0.478995,1.668897,0.478995,1.631774,0.000000,0.000000,-0.706819,0.000000,0.706819,0.000000,5.149843
2007-08-14,-0.309953,0.031938,-1.238622,-1.033588,0.000000,0.000000,0.236701,0.236701,0.000000,1.000000,5.121408
2007-08-15,-0.422480,-0.056313,-1.014234,-0.215276,0.000000,0.000000,1.132431,1.132431,0.000000,0.000000,5.119920
2007-08-16,-0.576431,-0.576431,-2.059678,-2.027764,4.000000,0.000000,10.123045,10.123045,0.000000,0.000000,5.009196
2007-08-17,-0.053154,2.468236,-0.541359,1.528075,2.000000,0.000000,1.308198,1.308198,0.000000,0.000000,3.218023
