Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule
nan,-0.297269,-0.297269,-0.856603,-0.496752,0.000000,0.000000
nan,-0.868810,-0.868810,-1.489933,-1.223193,0.000000,0.000000
nan,0.220423,0.338507,-0.035425,0.023617,0.000000,0.000000
nan,0.338517,1.217882,0.338517,1.143953,0.000000,0.000000
nan,-0.846013,-0.846013,-1.639385,-1.425061,0.000000,0.000000
nan,-0.301152,-0.042470,-0.490337,-0.162159,0.000000,0.000000
nan,0.177294,1.032932,0.154169,0.817096,0.000000,0.000000
nan,-0.284287,0.331019,-0.471215,0.319336,0.000000,0.000000
nan,0.691938,0.889083,-0.251263,-0.042521,0.000000,0.000000
nan,-1.018282,-1.018282,-1.996272,-1.996272,5.000000,0.000000
nan,-0.029816,0.093176,-0.573966,-0.081995,5.000000,0.000000
nan,-0.360267,0.144107,-0.523336,-0.109976,5.000000,0.000000
nan,1.916752,3.327694,1.916752,3.327694,0.000000,0.000000
nan,-0.637766,-0.514220,-0.934945,-0.587679,0.000000,0.000000
nan,-0.404028,-0.294461,-0.517019,-0.510171,5.000000,0.000000
nan,-0.553526,-0.349413,-0.802613,-0.522390,5.000000,0.000000
nan,-0.351861,-0.144263,-0.675573,-0.573534,5.000000,0.000000
nan,0.502149,0.769250,0.502149,0.584060,5.000000,0.000000
nan,0.258157,0.324540,0.151206,0.254469,5.000000,0.000000
nan,-0.174113,0.121122,-0.378507,0.022710,5.000000,0.000000
nan,0.306575,0.407473,-0.112540,-0.093137,5.000000,0.000000
nan,0.136852,0.856300,0.136852,0.797649,5.000000,0.000000
nan,0.424349,1.082285,0.408777,0.755264,5.000000,0.000000
nan,-0.273029,0.328426,-0.360081,0.253244,5.000000,0.000000
nan,0.306182,0.906616,0.306182,0.337993,5.000000,0.000000
nan,0.647209,0.791926,0.036179,0.156777,5.000000,0.000000
nan,-0.411284,-0.411284,-0.753342,-0.415356,5.000000,0.000000
nan,0.533954,0.687104,0.293882,0.314578,5.000000,0.000000
nan,0.370953,1.288144,0.195667,1.284068,4.000000,0.000000
nan,0.818647,1.110443,0.741646,0.847016,4.000000,0.000000
nan,-0.182031,-0.093038,-1.035553,-0.800935,4.000000,0.000000
nan,0.113821,0.906502,0.113821,0.833332,4.000000,0.000000
nan,0.361841,0.662005,-0.119243,-0.119243,4.000000,0.000000
nan,0.472611,2.099632,0.337026,1.731616,3.000000,0.000000
nan,0.141747,1.611439,-0.093255,1.544296,0.000000,0.000000
nan,0.909497,1.168297,0.295771,0.536086,0.000000,0.000000
nan,-0.741409,-0.409435,-1.043875,-0.730344,0.000000,0.000000
nan,0.049675,0.129920,-0.187237,-0.038212,0.000000,0.000000
