Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule
nan,-0.102516,0.369860,-1.070691,-0.105234,2.000000,0.000000
nan,0.361981,0.849152,0.361981,0.782845,2.000000,0.000000
nan,-0.146028,0.121996,-0.984355,-0.678517,2.000000,0.000000
nan,-0.213666,0.619792,-0.678915,0.380443,2.000000,0.000000
nan,0.504416,1.650903,0.504416,1.650903,1.000000,0.000000
nan,0.122131,1.350683,0.122131,1.254803,0.000000,1.000000
nan,0.005808,0.169123,-0.655570,-0.402561,0.000000,0.000000
nan,-0.007323,0.342122,-0.260496,-0.057758,0.000000,1.000000
nan,0.229664,0.861947,0.215293,0.347611,0.000000,0.000000
nan,-0.328365,-0.328365,-1.495385,-1.025797,1.000000,0.000000
nan,0.135442,0.373738,-0.329693,-0.169309,1.000000,0.000000
nan,-0.408711,-0.021353,-1.005304,-0.148967,2.000000,0.000000
nan,-0.338703,-0.188401,-0.888047,-0.671945,2.000000,0.000000
nan,-0.249823,-0.249470,-0.875072,-0.368562,2.000000,0.000000
nan,0.385975,0.830437,0.385975,0.812897,0.000000,0.000000
nan,0.162846,0.563767,-0.298207,0.563767,0.000000,0.000000
nan,-0.317784,-0.176131,-0.698162,-0.345018,0.000000,0.000000
nan,0.230190,0.916193,0.230190,0.750040,0.000000,1.000000
nan,0.119189,0.319635,0.041654,0.208817,0.000000,0.000000
nan,0.169353,0.264668,-0.725375,-0.625812,0.000000,0.000000
nan,0.004379,0.649271,-0.107018,0.649271,0.000000,1.000000
nan,0.121254,0.542001,-0.033145,0.087092,0.000000,0.000000
nan,-0.038230,0.319020,-1.314310,-1.070782,0.000000,0.000000
nan,-0.493336,-0.355832,-1.374828,-0.518651,0.000000,0.000000
nan,0.207325,1.367475,-0.247656,1.367475,0.000000,1.000000
nan,0.394426,0.861164,0.289454,0.498185,0.000000,10.000000
nan,0.104279,0.437901,-0.057739,0.306082,0.000000,10.000000
nan,-0.036117,-0.036117,-0.855690,-0.388600,0.000000,2.000000
nan,-0.511597,-0.369861,-1.306473,-1.306473,0.000000,10.000000
nan,0.428760,1.234769,0.428760,1.018771,0.000000,10.000000
nan,-0.122191,0.156439,-1.540552,-1.489561,0.000000,1.000000
nan,-0.005775,0.722707,-0.326879,0.722707,0.000000,10.000000
nan,-0.156675,-0.025200,-1.417769,-1.329559,0.000000,10.000000
nan,-0.300724,0.144051,-1.324820,-0.935253,0.000000,10.000000
nan,0.216888,0.441903,-1.828218,-1.828218,0.000000,0.000000
nan,-0.252735,0.563248,-0.738885,-0.137672,0.000000,0.000000
nan,0.037188,0.341087,-0.540089,-0.088083,0.000000,0.000000
nan,0.348497,1.354121,0.348497,1.215290,0.000000,0.000000
