Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule
nan,-0.270304,-0.270304,-0.778901,-0.451692,0.000000,0.000000
nan,-0.807756,-0.807756,-1.385230,-1.137235,0.000000,0.000000
nan,0.199721,0.306715,-0.032098,0.021399,0.000000,0.000000
nan,0.309921,1.115002,0.309921,1.047318,0.000000,0.000000
nan,-0.797109,-0.797109,-1.544621,-1.342687,0.000000,0.000000
nan,-0.277860,-0.039185,-0.452413,-0.149617,0.000000,0.000000
nan,0.163940,0.955130,0.142557,0.755551,0.000000,0.000000
nan,-0.260860,0.303741,-0.432384,0.293020,0.000000,0.000000
nan,0.639296,0.821441,-0.232146,-0.039286,0.000000,0.000000
nan,-0.983563,-0.983563,-1.928209,-1.928209,5.000000,0.000000
nan,-0.028408,0.088775,-0.546857,-0.078122,5.000000,0.000000
nan,-0.338617,0.135447,-0.491885,-0.103367,5.000000,0.000000
nan,2.001754,3.475268,2.001754,3.475268,0.000000,0.000000
nan,-0.663955,-0.535335,-0.973337,-0.611812,0.000000,0.000000
nan,-0.412150,-0.300381,-0.527412,-0.520427,5.000000,0.000000
nan,-0.559910,-0.353443,-0.811869,-0.528415,5.000000,0.000000
nan,-0.351095,-0.143949,-0.674103,-0.572286,5.000000,0.000000
nan,0.496244,0.760203,0.496244,0.577191,5.000000,0.000000
nan,0.248075,0.311865,0.145301,0.244531,5.000000,0.000000
nan,-0.163893,0.114012,-0.356288,0.021377,5.000000,0.000000
nan,0.282946,0.376068,-0.103866,-0.085958,5.000000,0.000000
nan,0.125627,0.786065,0.125627,0.732225,5.000000,0.000000
nan,0.391247,0.997858,0.376889,0.696347,5.000000,0.000000
nan,-0.248603,0.299044,-0.327868,0.230588,5.000000,0.000000
nan,0.277923,0.822941,0.277923,0.306798,5.000000,0.000000
nan,0.582796,0.713110,0.032579,0.141174,5.000000,0.000000
nan,-0.366816,-0.366816,-0.671891,-0.370448,5.000000,0.000000
nan,0.470376,0.605290,0.258889,0.277121,5.000000,0.000000
nan,0.331311,1.150487,0.174758,1.146846,4.000000,0.000000
nan,0.735456,0.997599,0.666279,0.760942,4.000000,0.000000
nan,-0.163951,-0.083797,-0.932697,-0.721382,4.000000,0.000000
nan,0.102205,0.813993,0.102205,0.748289,4.000000,0.000000
nan,0.322204,0.589487,-0.106181,-0.106181,4.000000,0.000000
nan,0.442338,1.965139,0.315437,1.620696,3.000000,0.000000
nan,0.136878,1.556087,-0.090051,1.491250,0.000000,0.000000
nan,0.884882,1.136678,0.287766,0.521577,0.000000,0.000000
nan,-0.722883,-0.399204,-1.017791,-0.712094,0.000000,0.000000
nan,0.047084,0.123143,-0.177470,-0.036218,0.000000,0.000000
nan,0.000000,0.610794,-0.010907,0.588980,0.000000,0.000000
nan,0.824462,1.100493,0.675550,0.679182,0.000000,0.000000
nan,-1.159356,-1.159356,-1.553032,-1.553032,0.000000,0.000000
nan,-0.426456,0.346947,-0.589088,0.263825,0.000000,0.000000
nan,0.154898,0.443080,-0.878956,-0.842933,2.000000,0.000000
nan,-0.652473,-0.533514,-0.930045,-0.915625,3.000000,0.000000
nan,-0.050594,0.701090,-0.050594,0.513169,2.000000,0.000000
nan,0.351736,0.663585,0.217569,0.340858,2.000000,0.000000
nan,1.406646,2.031025,1.406646,1.937727,0.000000,0.000000
nan,-0.263158,0.039654,-0.504686,-0.497476,0.000000,0.000000
nan,0.235391,0.539589,-0.007243,0.000000,0.000000,0.000000
nan,0.369465,0.369465,-0.608530,-0.532464,0.000000,0.000000
nan,0.356656,0.444001,-0.087344,0.211082,0.000000,0.000000
nan,-0.469131,-0.334574,-1.072819,-1.069182,2.000000,0.000000
nan,0.377267,1.247884,0.377267,1.247884,0.000000,0.000000
nan,0.029183,0.054719,-0.390326,-0.218874,0.000000,0.000000
nan,0.095016,0.105979,-0.716273,-0.646838,0.000000,0.000000
nan,-0.549426,-0.168491,-0.772859,-0.234422,0.000000,0.000000
nan,-0.666320,-0.512554,-1.047074,-1.047074,3.000000,0.000000
nan,0.492555,0.569747,-0.033082,0.062488,3.000000,0.000000
nan,-0.431368,0.029495,-0.671017,0.025808,3.000000,0.000000
nan,-0.237100,-0.103731,-0.522362,-0.177825,3.000000,0.000000
nan,-0.393864,-0.308403,-0.705982,-0.635384,4.000000,0.000000
nan,0.376518,0.674750,0.361606,0.387702,4.000000,0.000000
nan,-0.085948,0.676370,-0.085948,0.523159,4.000000,0.000000
nan,-0.007492,0.730422,-0.033712,0.591829,3.000000,0.000000
nan,0.674293,1.538581,0.674293,1.449172,2.000000,0.000000
nan,-0.055948,0.410287,-0.469965,-0.205144,2.000000,0.000000
nan,0.554258,0.599197,0.059920,0.558003,2.000000,0.000000
nan,-0.263719,-0.177069,-0.406881,-0.259952,2.000000,0.000000
nan,0.409123,0.454581,0.079552,0.079552,2.000000,0.000000
nan,-0.565016,-0.534679,-0.898716,-0.765994,2.000000,0.000000
nan,0.361791,0.445574,-0.129483,0.133291,2.000000,0.000000
nan,0.118349,0.755908,0.118349,0.675736,2.000000,0.000000
nan,0.275106,0.917020,0.275106,0.699228,2.000000,0.000000
nan,-0.088302,0.207318,-0.318655,0.076784,2.000000,0.000000
nan,0.469113,0.845941,0.334531,0.784418,0.000000,0.000000
nan,0.142585,0.142585,-0.639705,-0.385364,1.000000,0.000000
nan,-0.571694,-0.235631,-0.764834,-0.556243,2.000000,0.000000
